threads,time_sec,speedup,efficiency
1,11.557499,1.000000,1.000000
2,15.793695,0.731779,0.365889
4,6.828121,1.692632,0.423158
8,4.189623,2.758601,0.344825
16,1.870348,6.179331,0.386208
32,1.144583,10.097563,0.315549
64,0.841113,13.740721,0.214699
