threads,time_sec,speedup,efficiency
1,8.559850,1.000000,1.000000
2,13.634551,0.627806,0.313903
4,8.431187,1.015260,0.253815
8,3.619569,2.364881,0.295610
16,1.689372,5.066883,0.316680
32,1.320337,6.483080,0.202596
64,0.802354,10.668421,0.166694
