threads,time_sec,speedup,efficiency
1,0.815274,1.000000,1.000000
2,1.887314,0.431976,0.215988
4,2.249672,0.362397,0.090599
8,1.466708,0.555853,0.069482
16,0.873912,0.932902,0.058306
32,0.425920,1.914148,0.059817
64,0.294690,2.766548,0.043227
