threads,time_sec,speedup,efficiency
1,0.042010,1.000000,1.000000
2,0.071984,0.583602,0.291801
4,0.038895,1.080087,0.270022
8,0.028165,1.491568,0.186446
16,0.051064,0.822693,0.051418
32,0.015838,2.652481,0.082890
64,0.019491,2.155354,0.033677
