threads,time_sec,speedup,efficiency
1,0.856015,1.000000,1.000000
2,0.899527,0.951628,0.475814
4,0.846904,1.010758,0.252690
8,0.693219,1.234841,0.154355
16,0.401285,2.133185,0.133324
32,0.259422,3.299701,0.103116
64,0.212444,4.029368,0.062959
