threads,time_sec,speedup,efficiency
1,7.148412,1.000000,1.000000
2,9.035055,0.791186,0.395593
4,3.068368,2.329711,0.582428
8,1.967380,3.633468,0.454184
16,2.178073,3.281989,0.205124
32,1.238623,5.771257,0.180352
64,0.745256,9.591888,0.149873
