threads,time_sec,speedup,efficiency
1,0.003713,1.000000,1.000000
2,0.006480,0.572994,0.286497
4,0.006611,0.561640,0.140410
8,0.007106,0.522516,0.065314
16,0.007132,0.520611,0.032538
32,0.016845,0.220421,0.006888
64,0.044158,0.084084,0.001314
