threads,time_sec,speedup,efficiency
1,9.093955,1.000000,1.000000
2,8.848911,1.027692,0.513846
4,9.333927,0.974290,0.243572
8,8.601262,1.057281,0.132160
16,8.694103,1.045991,0.065374
32,8.681148,1.047552,0.032736
64,9.270720,0.980933,0.015327
