threads,time_sec,speedup,efficiency
1,2.706959,1.000000,1.000000
2,1.306830,2.071393,1.035697
4,0.633120,4.275586,1.068896
8,0.316133,8.562722,1.070340
16,0.239708,11.292735,0.705796
32,0.190571,14.204464,0.443889
64,0.177634,15.238969,0.238109
