threads,time_sec,speedup,efficiency
1,0.410918,1.000000,1.000000
2,0.237341,1.731340,0.865670
4,0.154515,2.659405,0.664851
8,0.256966,1.599114,0.199889
16,0.091799,4.476280,0.279768
32,0.378929,1.084420,0.033888
64,0.439642,0.934665,0.014604
