threads,time_sec,speedup,efficiency
1,3.075843,1.000000,1.000000
2,3.094557,0.993953,0.496976
4,3.070701,1.001675,0.250419
8,2.872374,1.070837,0.133855
16,3.019949,1.018508,0.063657
32,3.038179,1.012397,0.031637
64,2.974648,1.034019,0.016157
