threads,time_sec,speedup,efficiency
1,0.025099,1.000000,1.000000
2,0.015791,1.589450,0.794725
4,0.014822,1.693361,0.423340
8,0.009284,2.703468,0.337933
16,0.006995,3.588134,0.224258
32,0.009665,2.596896,0.081153
64,0.011620,2.159983,0.033750
