threads,time_sec,speedup,efficiency
1,2.909953,1.000000,1.000000
2,1.555204,1.871107,0.935554
4,0.839509,3.466256,0.866564
8,0.458479,6.346971,0.793371
16,0.304080,9.569695,0.598106
32,0.248486,11.710732,0.365960
64,0.231049,12.594528,0.196790
