threads,time_sec,speedup,efficiency
1,0.004127,1.000000,1.000000
2,0.003612,1.142580,0.571290
4,0.004547,0.907631,0.226908
8,0.002146,1.923113,0.240389
16,0.001912,2.158473,0.134905
32,0.004414,0.934980,0.029218
64,0.004130,0.999274,0.015614
