threads,time_sec,speedup,efficiency
1,0.394166,1.000000,1.000000
2,0.331171,1.190219,0.595109
4,0.281527,1.400100,0.350025
8,0.324668,1.214059,0.151757
16,0.367380,1.072911,0.067057
32,0.455585,0.865187,0.027037
64,0.679019,0.580493,0.009070
