threads,time_sec,speedup,efficiency
1,0.019453,1.000000,1.000000
2,0.026352,0.738198,0.369099
4,0.014557,1.336333,0.334083
8,0.011178,1.740293,0.217537
16,0.008731,2.228038,0.139252
32,0.009775,1.990077,0.062190
64,0.010997,1.768937,0.027640
