threads,time_sec,speedup,efficiency
1,2.722203,1.000000,1.000000
2,1.486618,1.831138,0.915569
4,0.847100,3.213556,0.803389
8,0.458761,5.933815,0.741727
16,0.280046,9.720557,0.607535
32,0.228923,11.891348,0.371605
64,0.226437,12.021900,0.187842
