threads,time_sec,speedup,efficiency
1,0.003039,1.000000,1.000000
2,0.002617,1.161253,0.580627
4,0.002512,1.209793,0.302448
8,0.002349,1.293742,0.161718
16,0.004217,0.720654,0.045041
32,0.005623,0.540459,0.016889
64,0.013338,0.227845,0.003560
