threads,time_sec,speedup,efficiency
1,5.034761,1.000000,1.000000
2,2.537267,1.984324,0.992162
4,1.281262,3.929533,0.982383
8,0.693521,7.259710,0.907464
16,0.350379,14.369471,0.898092
32,0.225259,22.350987,0.698468
64,0.179140,28.105175,0.439143
