threads,time_sec,speedup,efficiency
1,0.003100,1.000000,1.000000
2,0.002931,1.057660,0.528830
4,0.002015,1.538462,0.384615
8,0.002398,1.292744,0.161593
16,0.006053,0.512143,0.032009
32,0.013892,0.223150,0.006973
64,0.030431,0.101870,0.001592
