threads,time_sec,speedup,efficiency
1,0.023163,1.000000,1.000000
2,0.017710,1.307905,0.653953
4,0.011798,1.963299,0.490825
8,0.008234,2.813092,0.351637
16,0.017196,1.346999,0.084187
32,0.038963,0.594487,0.018578
64,0.271393,0.085349,0.001334
