threads,time_sec,speedup,efficiency
1,5.627354,1.000000,1.000000
2,2.536514,2.218539,1.109269
4,1.308718,4.299898,1.074974
8,0.700750,8.030473,1.003809
16,0.441002,12.760382,0.797524
32,0.199266,28.240412,0.882513
64,0.181263,31.045244,0.485082
