threads,time_sec,speedup,efficiency
1,0.531112,1.000000,1.000000
2,0.758833,0.699906,0.349953
4,0.700704,0.757969,0.189492
8,0.906053,0.586182,0.073273
16,0.561702,0.945541,0.059096
32,0.802926,0.661471,0.020671
64,1.747704,0.303891,0.004748
