threads,time_sec,speedup,efficiency
1,5.213692,1.000000,1.000000
2,2.544499,2.049005,1.024503
4,1.324725,3.935679,0.983920
8,0.660550,7.892956,0.986619
16,0.360782,14.451087,0.903193
32,0.206482,25.250104,0.789066
64,0.223633,23.313608,0.364275
