threads,time_sec,speedup,efficiency
1,0.426185,1.000000,1.000000
2,0.224033,1.902331,0.951165
4,0.123063,3.463145,0.865786
8,0.073338,5.811244,0.726406
16,0.057003,7.476536,0.467284
32,0.070694,6.028588,0.188393
64,0.328896,1.295805,0.020247
