threads,time_sec,speedup,efficiency
1,0.056113,1.000000,1.000000
2,0.117239,0.478621,0.239311
4,0.087471,0.641504,0.160376
8,0.170154,0.329778,0.041222
16,0.101059,0.555250,0.034703
32,0.211671,0.265095,0.008284
64,0.283715,0.197779,0.003090
