threads,time_sec,speedup,efficiency
1,0.041266,1.000000,1.000000
2,0.042233,0.977103,0.488552
4,0.143583,0.287402,0.071850
8,0.167535,0.246313,0.030789
16,0.203318,0.202963,0.012685
32,0.372380,0.110817,0.003463
64,0.888603,0.046439,0.000726
