# max_bytes=4194304 repeats=2000 warmup=50
bytes,rtt_us
1,0.628003
2,0.638620
4,0.676571
8,0.655870
16,0.782755
32,0.842068
64,0.884369
128,0.906872
256,0.981902
512,1.361542
1024,1.695555
2048,2.342290
4096,4.071235
8192,4.369984
16384,5.374309
32768,6.831528
65536,9.564484
131072,14.806441
262144,24.879672
524288,43.806879
1048576,118.879641
2097152,343.107569
4194304,682.508621
