nprocs,time_sec,speedup,efficiency
1,2.926551145,1.0,1.0
2,1.565721841,1.86914,0.93457
4,0.829065355,3.52994,0.882485
8,0.377071366,7.76127,0.970159
16,0.282264383,10.3681,0.648006
