ranks,threads,total_cores,seconds
1,112,112,2.4871
2,56,112,1.4915
4,28,112,0.9305
7,16,112,0.7107
8,14,112,0.5981
14,8,112,0.5288
16,7,112,0.7626
28,4,112,0.8663
56,2,112,9.6120
112,1,112,31.2099
